customer_id,transaction_date,city,customer_type,purchase
93,2023-10-07,Tangerang,member,204
58,2023-04-26,Tangerang,member,185
87,2023-05-09,Bogor,member,191
93,2023-10-27,Tangerang,member,190
67,2023-03-23,Tangerang,member,145
71,2023-06-22,Jakarta,member,179
71,2023-11-27,Jakarta,member,165
71,2023-04-07,Jakarta,member,174
62,2023-04-01,Jakarta,member,189
82,2023-06-04,Jakarta,member,162
74,2023-12-08,Jakarta,member,165
72,2023-11-15,Bekasi,member,168
71,2023-12-16,Jakarta,member,167
62,2023-11-17,Jakarta,member,192
60,2023-12-29,Depok,member,199
87,2023-11-12,Bogor,member,186
53,2023-08-30,Jakarta,member,174
91,2023-12-24,Tangerang,member,176
98,2023-03-23,Tangerang,member,203
93,2023-03-01,Tangerang,member,167
93,2023-09-17,Tangerang,member,156
58,2023-11-13,Tangerang,member,188
63,2023-10-09,Jakarta,member,197
71,2023-02-17,Jakarta,member,166
53,2023-11-09,Jakarta,member,184
74,2023-06-13,Jakarta,member,190
62,2023-04-23,Jakarta,member,167
71,2023-09-28,Jakarta,member,199
62,2023-11-29,Jakarta,member,200
71,2023-11-03,Jakarta,member,164
58,2023-05-07,Tangerang,member,167
140,2023-06-18,Jakarta,member,180
110,2023-05-11,Bogor,member,194
136,2023-11-23,Tangerang,member,193
110,2023-05-31,Bogor,member,184
110,2023-07-24,Bogor,member,148
147,2023-09-21,Jakarta,member,178
129,2023-07-07,Tangerang,member,146
108,2023-12-08,Tangerang,member,175
115,2023-08-07,Depok,member,186
140,2023-04-02,Jakarta,member,182
148,2023-11-03,Tangerang,member,175
122,2023-10-30,Tangerang,member,140
126,2023-07-29,Jakarta,member,237
131,2023-12-28,Tangerang,member,185
136,2023-07-27,Tangerang,member,177
120,2023-04-19,Tangerang,member,183
111,2023-10-29,Jakarta,member,198
108,2023-05-19,Tangerang,member,173
111,2023-05-30,Jakarta,member,196
136,2023-03-25,Tangerang,member,171
111,2023-06-05,Jakarta,member,183
136,2023-06-27,Tangerang,member,183
102,2023-11-28,Bogor,member,185
149,2023-03-20,Bogor,member,188
115,2023-11-28,Depok,member,170
126,2023-03-05,Jakarta,member,183
149,2023-05-02,Bogor,member,166
108,2023-09-02,Tangerang,member,177
147,2023-03-12,Jakarta,member,204
129,2023-07-17,Tangerang,member,168
136,2023-08-20,Tangerang,member,214
122,2023-10-03,Tangerang,member,170
110,2023-10-23,Bogor,member,165
108,2023-08-11,Tangerang,member,190
108,2023-07-13,Tangerang,member,177
122,2023-03-03,Tangerang,member,183
115,2023-08-29,Depok,member,187
120,2023-09-29,Tangerang,member,179
120,2023-04-08,Tangerang,member,169
110,2023-04-16,Bogor,member,169
126,2023-06-22,Jakarta,member,182
136,2023-08-05,Tangerang,member,187
131,2023-11-09,Tangerang,member,177
131,2023-03-21,Tangerang,member,177
129,2023-07-26,Tangerang,member,175
110,2023-06-20,Bogor,member,179
129,2023-05-16,Tangerang,member,181
115,2023-08-13,Depok,member,176
148,2023-09-28,Tangerang,member,179
127,2023-04-01,Jakarta,member,183
129,2023-08-16,Tangerang,member,181
102,2023-10-17,Bogor,member,152
122,2023-10-10,Tangerang,member,165
133,2023-12-31,Tangerang,member,192
102,2023-10-18,Bogor,member,157
122,2023-07-17,Tangerang,member,191
171,2023-07-27,Jakarta,member,181
191,2023-09-01,Bogor,member,156
162,2023-12-22,Jakarta,member,190
195,2023-05-31,Depok,member,157
157,2023-09-28,Jakarta,member,191
151,2023-08-08,Jakarta,member,197
158,2023-05-05,Jakarta,member,179
191,2023-07-06,Bogor,member,192
184,2023-05-07,Depok,member,187
184,2023-07-26,Depok,member,156
191,2023-07-08,Bogor,member,168
181,2023-07-14,Jakarta,member,156
184,2023-12-09,Depok,member,152
195,2023-05-01,Depok,member,147
183,2023-12-06,Depok,member,157
195,2023-08-12,Depok,member,185
157,2023-07-28,Jakarta,member,144
185,2023-06-08,Tangerang,member,173
171,2023-09-26,Jakarta,member,147
184,2023-08-15,Depok,member,189
163,2023-10-31,Depok,member,196
158,2023-05-22,Jakarta,member,203
185,2023-11-29,Tangerang,member,172
184,2023-11-10,Depok,member,185
161,2023-10-14,Tangerang,member,164
157,2023-08-05,Jakarta,member,163
195,2023-04-17,Depok,member,160
157,2023-05-26,Jakarta,member,175
190,2023-05-13,Jakarta,member,194
184,2023-04-05,Depok,member,165
176,2023-07-09,Tangerang,member,164
151,2023-05-16,Jakarta,member,158
185,2023-04-13,Tangerang,member,153
158,2023-05-04,Jakarta,member,177
158,2023-04-12,Jakarta,member,178
158,2023-07-14,Jakarta,member,173
157,2023-09-08,Jakarta,member,198
163,2023-06-14,Depok,member,176
190,2023-07-05,Jakarta,member,171
183,2023-04-14,Depok,member,191
158,2023-06-09,Jakarta,member,155
176,2023-11-26,Tangerang,member,201
157,2023-11-13,Jakarta,member,186
157,2023-06-01,Jakarta,member,168
183,2023-09-16,Depok,member,162
176,2023-04-20,Tangerang,member,171
191,2023-04-09,Bogor,member,157
183,2023-07-28,Depok,member,156
190,2023-08-03,Jakarta,member,186
183,2023-12-29,Depok,member,167
176,2023-10-24,Tangerang,member,167
161,2023-05-20,Tangerang,member,179
151,2023-07-19,Jakarta,member,179
183,2023-06-08,Depok,member,160
249,2023-06-23,Tangerang,member,172
250,2023-09-30,Tangerang,member,142
249,2023-11-10,Tangerang,member,189
209,2023-08-01,Jakarta,member,211
235,2023-06-27,Jakarta,member,191
216,2023-11-30,Bogor,member,184
204,2023-07-04,Depok,member,161
204,2023-06-21,Depok,member,189
204,2023-11-16,Depok,member,216
209,2023-09-10,Jakarta,member,187
216,2023-05-08,Bogor,member,166
235,2023-06-18,Jakarta,member,164
209,2023-07-28,Jakarta,member,179
246,2023-08-04,Depok,member,171
235,2023-09-20,Jakarta,member,169
216,2023-12-21,Bogor,member,196
235,2023-11-24,Jakarta,member,191
218,2023-10-08,Depok,member,186
201,2023-06-01,Jakarta,member,196
234,2023-09-18,Jakarta,member,170
249,2023-05-24,Tangerang,member,169
234,2023-09-11,Jakarta,member,148
235,2023-09-12,Jakarta,member,204
292,2023-12-19,Tangerang,member,159
279,2023-12-18,Depok,member,169
276,2023-12-28,Depok,member,197
277,2023-11-27,Tangerang,member,175
277,2023-06-13,Tangerang,member,190
283,2023-12-22,Tangerang,member,159
277,2023-11-07,Tangerang,member,181
283,2023-08-22,Tangerang,member,184
291,2023-12-30,Tangerang,member,177
288,2023-10-20,Depok,member,165
288,2023-08-13,Depok,member,178
292,2023-11-11,Tangerang,member,155
277,2023-09-08,Tangerang,member,165
273,2023-12-14,Tangerang,member,146
276,2023-12-15,Depok,member,200
288,2023-12-25,Depok,member,208
292,2023-12-29,Tangerang,member,153
273,2023-12-04,Tangerang,member,160
277,2023-06-17,Tangerang,member,171
338,2023-09-25,Jakarta,member,186
310,2023-08-19,Tangerang,member,177
306,2023-08-05,Tangerang,member,171
306,2023-09-12,Tangerang,member,163
319,2023-07-31,Jakarta,member,182
319,2023-10-15,Jakarta,member,169
327,2023-12-12,Jakarta,member,182
319,2023-11-09,Jakarta,member,168
347,2023-07-08,Jakarta,member,181
333,2023-09-18,Tangerang,member,178
305,2023-12-03,Jakarta,member,157
347,2023-08-20,Jakarta,member,193
306,2023-08-12,Tangerang,member,190
343,2023-08-10,Depok,member,170
347,2023-08-05,Jakarta,member,172
305,2023-08-31,Jakarta,member,192
319,2023-08-12,Jakarta,member,163
333,2023-10-15,Tangerang,member,175
305,2023-11-24,Jakarta,member,167
307,2023-10-02,Jakarta,member,193
308,2023-07-06,Bogor,member,162
333,2023-07-23,Tangerang,member,182
318,2023-11-03,Depok,member,180
347,2023-12-11,Jakarta,member,161
357,2023-12-27,Tangerang,member,200
400,2023-12-06,Jakarta,member,211
354,2023-12-11,Tangerang,member,147
379,2023-11-08,Tangerang,member,199
379,2023-12-09,Tangerang,member,158
386,2023-10-06,Jakarta,member,201
388,2023-12-26,Depok,member,195
381,2023-08-20,Jakarta,member,171
386,2023-09-22,Jakarta,member,197
388,2023-09-24,Depok,member,157
381,2023-10-18,Jakarta,member,187
353,2023-12-18,Bogor,member,161
374,2023-11-30,Depok,member,196
379,2023-10-26,Tangerang,member,137
363,2023-08-06,Bogor,member,188
379,2023-11-08,Tangerang,member,179
392,2023-11-08,Jakarta,member,174
392,2023-11-14,Jakarta,member,175
363,2023-10-19,Bogor,member,180
385,2023-08-26,Tangerang,member,180
388,2023-09-04,Depok,member,140
368,2023-12-08,Jakarta,member,184
369,2023-09-20,Jakarta,member,167
393,2023-12-08,Tangerang,member,194
369,2023-08-15,Jakarta,member,156
377,2023-11-20,Tangerang,member,159
392,2023-12-25,Jakarta,member,166
392,2023-11-17,Jakarta,member,175
368,2023-08-20,Jakarta,member,170
368,2023-09-03,Jakarta,member,166
404,2023-10-14,Bogor,member,174
435,2023-11-12,Bogor,member,174
426,2023-12-11,Depok,member,159
401,2023-12-04,Jakarta,member,166
418,2023-09-28,Jakarta,member,196
449,2023-09-09,Depok,member,156
407,2023-11-18,Bogor,member,181
426,2023-11-25,Depok,member,220
422,2023-11-11,Jakarta,member,190
428,2023-11-17,Depok,member,162
445,2023-12-01,Tangerang,member,148
434,2023-12-11,Tangerang,member,165
435,2023-10-19,Bogor,member,178
404,2023-12-05,Bogor,member,182
422,2023-11-11,Jakarta,member,164
426,2023-10-04,Depok,member,166
444,2023-11-17,Tangerang,member,171
446,2023-10-31,Jakarta,member,174
418,2023-12-06,Jakarta,member,219
418,2023-10-09,Jakarta,member,184
418,2023-09-17,Jakarta,member,195
413,2023-09-09,Jakarta,member,173
475,2023-11-23,Tangerang,member,129
492,2023-10-31,Depok,member,184
465,2023-12-24,Tangerang,member,176
474,2023-11-05,Tangerang,member,197
463,2023-11-25,Jakarta,member,168
462,2023-10-15,Tangerang,member,177
494,2023-12-03,Jakarta,member,168
484,2023-10-07,Tangerang,member,225
454,2023-12-28,Jakarta,member,199
474,2023-11-27,Tangerang,member,179
491,2023-11-20,Jakarta,member,160
492,2023-12-22,Depok,member,181
465,2023-10-13,Tangerang,member,184
463,2023-12-14,Jakarta,member,176
460,2023-10-13,Tangerang,member,163
477,2023-10-02,Jakarta,member,154
454,2023-10-21,Jakarta,member,193
478,2023-12-08,Tangerang,member,174
492,2023-12-14,Depok,member,173
502,2023-11-05,Jakarta,member,195
518,2023-12-17,Tangerang,member,188
518,2023-12-31,Tangerang,member,194
537,2023-11-24,Bogor,member,182
510,2023-12-07,Tangerang,member,225
519,2023-11-27,Jakarta,member,194
515,2023-12-10,Bogor,member,196
531,2023-12-13,Bogor,member,165
515,2023-11-09,Bogor,member,203
531,2023-12-01,Bogor,member,139
521,2023-11-06,Jakarta,member,195
531,2023-11-28,Bogor,member,204
518,2023-12-28,Tangerang,member,150
522,2023-12-26,Tangerang,member,169
577,2023-12-08,Jakarta,member,195
567,2023-12-09,Jakarta,member,176
37,2023-04-14,Bogor,member,218
18,2023-02-21,Bekasi,member,170
4,2023-11-13,Bekasi,member,181
39,2023-02-28,Tangerang,member,186
12,2023-04-17,Jakarta,member,161
34,2023-10-29,Jakarta,member,190
45,2023-08-08,Depok,member,157
2,2023-05-11,Jakarta,member,186
29,2023-08-09,Tangerang,member,196
34,2023-04-13,Jakarta,member,181
50,2023-08-02,Jakarta,member,157
13,2023-04-15,Bekasi,member,166
7,2023-07-12,Jakarta,member,155
18,2023-04-14,Bekasi,member,170
12,2023-07-03,Jakarta,member,169
12,2023-05-28,Jakarta,member,151
7,2023-02-17,Jakarta,member,183
45,2023-07-02,Depok,member,169
7,2023-09-17,Jakarta,member,143
29,2023-04-13,Tangerang,member,186
7,2023-01-14,Jakarta,member,155
7,2023-05-29,Jakarta,member,161
34,2023-11-26,Jakarta,member,186
2,2023-06-18,Jakarta,member,208
39,2023-09-15,Tangerang,member,180
45,2023-09-14,Depok,member,174
7,2023-10-10,Jakarta,member,172
4,2023-09-26,Bekasi,member,201
18,2023-12-15,Bekasi,member,186
13,2023-07-22,Bekasi,member,185
18,2023-08-21,Bekasi,member,151
45,2023-08-25,Depok,member,167
16,2023-09-05,Jakarta,member,184
22,2023-05-17,Jakarta,member,168
13,2023-06-08,Bekasi,member,150
12,2023-06-18,Jakarta,member,169
37,2023-02-18,Bogor,member,178
22,2023-07-03,Jakarta,member,176
13,2023-03-11,Bekasi,member,170
9,2023-07-14,Jakarta,member,224
49,2023-05-16,Tangerang,member,164
9,2023-10-06,Jakarta,member,177
49,2023-03-10,Tangerang,member,174
20,2023-06-23,Bogor,member,164
9,2023-07-01,Jakarta,member,167
48,2023-01-25,Bogor,member,158
4,2023-07-05,Bekasi,member,167
49,2023-07-10,Tangerang,member,150
13,2023-09-20,Bekasi,member,178
45,2023-07-18,Depok,member,175
18,2023-08-20,Bekasi,member,180
7,2023-03-09,Jakarta,member,136
29,2023-09-03,Tangerang,member,185
48,2023-07-11,Bogor,member,155
34,2023-10-30,Jakarta,member,189
45,2023-12-25,Depok,member,187
49,2023-03-03,Tangerang,member,180
7,2023-05-31,Jakarta,member,174
12,2023-08-15,Jakarta,member,169
40,2023-02-06,Tangerang,member,178
18,2023-04-30,Bekasi,member,179
50,2023-11-15,Jakarta,member,182
9,2023-09-26,Jakarta,member,180
20,2023-04-08,Bogor,member,145
29,2023-04-21,Tangerang,member,188
45,2023-11-03,Depok,member,196
34,2023-09-28,Jakarta,member,175
13,2023-02-15,Bekasi,member,190
34,2023-06-02,Jakarta,member,176
2,2023-12-26,Jakarta,member,193
29,2023-04-16,Tangerang,member,149
4,2023-12-13,Bekasi,member,164
39,2023-02-02,Tangerang,member,177
50,2023-01-08,Jakarta,member,161
4,2023-12-06,Bekasi,member,178
45,2023-08-21,Depok,member,161
7,2023-06-18,Jakarta,member,176
49,2023-11-12,Tangerang,member,173
48,2023-03-03,Bogor,member,164
2,2023-04-16,Jakarta,member,162
15,2023-07-10,Jakarta,member,166
16,2023-10-21,Jakarta,member,167
13,2023-08-18,Bekasi,member,158
45,2023-07-15,Depok,member,192
4,2023-08-24,Bekasi,member,210
22,2023-02-05,Jakarta,member,173
22,2023-08-10,Jakarta,member,172
18,2023-12-03,Bekasi,member,159
37,2023-02-22,Bogor,member,189
29,2023-01-22,Tangerang,member,187
9,2023-11-18,Jakarta,member,177
9,2023-04-14,Jakarta,member,194
34,2023-07-19,Jakarta,member,170
50,2023-11-02,Jakarta,member,184
31,2023-01-01,Tangerang,member,153
49,2023-03-10,Tangerang,member,196
9,2023-05-20,Jakarta,member,189
13,2023-05-24,Bekasi,member,195
2,2023-02-12,Jakarta,member,195
13,2023-07-16,Bekasi,member,184
4,2023-01-03,Bekasi,member,161
20,2023-02-11,Bogor,member,170
7,2023-07-25,Jakarta,member,167
16,2023-07-05,Jakarta,member,173
37,2023-12-30,Bogor,member,207
34,2023-11-02,Jakarta,member,160
37,2023-07-03,Bogor,member,186
48,2023-07-14,Bogor,member,189
29,2023-07-12,Tangerang,member,191
9,2023-01-24,Jakarta,member,195
17,2023-04-08,Bogor,member,185
29,2023-10-28,Tangerang,member,204
18,2023-03-23,Bekasi,member,178
17,2023-05-25,Bogor,member,158
2,2023-07-13,Jakarta,member,163
40,2023-04-17,Tangerang,member,178
34,2023-04-10,Jakarta,member,175
9,2023-01-26,Jakarta,member,173
7,2023-01-18,Jakarta,member,185
18,2023-10-08,Bekasi,member,199
22,2023-10-13,Jakarta,member,173
18,2023-09-06,Bekasi,member,197
4,2023-09-26,Bekasi,member,176
7,2023-08-29,Jakarta,member,174
29,2023-04-16,Tangerang,member,198
49,2023-07-11,Tangerang,member,188
7,2023-06-03,Jakarta,member,192
17,2023-06-15,Bogor,member,196
17,2023-09-27,Bogor,member,165
13,2023-06-03,Bekasi,member,170
29,2023-08-07,Tangerang,member,187
34,2023-03-04,Jakarta,member,199
29,2023-11-12,Tangerang,member,201
49,2023-11-24,Tangerang,member,185
12,2023-02-16,Jakarta,member,189
49,2023-07-27,Tangerang,member,189
34,2023-05-09,Jakarta,member,175
37,2023-09-16,Bogor,member,174
13,2023-04-07,Bekasi,member,176
13,2023-06-26,Bekasi,member,205
7,2023-04-28,Jakarta,member,203
13,2023-06-20,Bekasi,member,147
39,2023-05-28,Tangerang,member,167
9,2023-08-06,Jakarta,member,194
18,2023-11-04,Bekasi,member,169
49,2023-05-30,Tangerang,member,208
4,2023-10-17,Bekasi,member,201
9,2023-04-04,Jakarta,member,156
34,2023-05-29,Jakarta,member,174
12,2023-01-11,Jakarta,member,167
9,2023-02-25,Jakarta,member,177
2,2023-09-23,Jakarta,member,182
7,2023-07-16,Jakarta,member,181
13,2023-07-03,Bekasi,member,155
34,2023-04-30,Jakarta,member,161
16,2023-02-03,Jakarta,member,205
16,2023-03-25,Jakarta,member,184
13,2023-05-06,Bekasi,member,157
9,2023-08-06,Jakarta,member,171
34,2023-03-13,Jakarta,member,217
56,2023-04-07,Jakarta,member,195
62,2023-10-05,Jakarta,member,157
87,2023-03-28,Bogor,member,180
72,2023-11-19,Bekasi,member,185
98,2023-09-03,Tangerang,member,205
71,2023-08-14,Jakarta,member,165
87,2023-11-01,Bogor,member,176
63,2023-04-21,Jakarta,member,152
98,2023-09-03,Tangerang,member,209
56,2023-04-14,Jakarta,member,168
58,2023-03-04,Tangerang,member,186
71,2023-06-11,Jakarta,member,206
58,2023-09-06,Tangerang,member,162
65,2023-11-20,Tangerang,member,166
56,2023-12-19,Jakarta,member,199
62,2023-05-23,Jakarta,member,145
72,2023-02-16,Bekasi,member,169
63,2023-07-08,Jakarta,member,194
53,2023-04-26,Jakarta,member,159
63,2023-08-16,Jakarta,member,183
87,2023-05-15,Bogor,member,186
72,2023-05-11,Bekasi,member,165
93,2023-02-26,Tangerang,member,146
62,2023-12-05,Jakarta,member,184
58,2023-06-12,Tangerang,member,184
91,2023-09-01,Tangerang,member,185
52,2023-08-11,Jakarta,member,174
67,2023-08-24,Tangerang,member,161
62,2023-07-28,Jakarta,member,131
87,2023-05-24,Bogor,member,175
74,2023-06-27,Jakarta,member,190
54,2023-02-15,Jakarta,member,155
93,2023-02-08,Tangerang,member,182
71,2023-03-07,Jakarta,member,172
98,2023-08-09,Tangerang,member,209
72,2023-03-19,Bekasi,member,194
74,2023-10-05,Jakarta,member,190
62,2023-04-16,Jakarta,member,170
72,2023-10-09,Bekasi,member,176
54,2023-12-18,Jakarta,member,181
56,2023-07-10,Jakarta,member,177
93,2023-08-15,Tangerang,member,170
72,2023-02-18,Bekasi,member,150
87,2023-04-19,Bogor,member,181
56,2023-05-29,Jakarta,member,197
91,2023-06-17,Tangerang,member,158
60,2023-08-10,Depok,member,212
74,2023-02-16,Jakarta,member,164
87,2023-11-15,Bogor,member,184
74,2023-11-18,Jakarta,member,189
93,2023-05-17,Tangerang,member,171
93,2023-05-27,Tangerang,member,190
93,2023-12-10,Tangerang,member,167
93,2023-09-13,Tangerang,member,172
60,2023-10-10,Depok,member,185
93,2023-08-21,Tangerang,member,182
56,2023-08-22,Jakarta,member,180
74,2023-03-29,Jakarta,member,199
54,2023-12-11,Jakarta,member,167
62,2023-12-10,Jakarta,member,183
52,2023-03-08,Jakarta,member,168
53,2023-03-02,Jakarta,member,185
65,2023-12-08,Tangerang,member,172
98,2023-10-18,Tangerang,member,189
74,2023-05-06,Jakarta,member,161
74,2023-07-09,Jakarta,member,179
74,2023-07-18,Jakarta,member,149
58,2023-06-16,Tangerang,member,193
74,2023-12-18,Jakarta,member,167
87,2023-10-16,Bogor,member,174
72,2023-04-19,Bekasi,member,160
71,2023-06-04,Jakarta,member,198
60,2023-09-08,Depok,member,180
93,2023-08-03,Tangerang,member,179
62,2023-05-16,Jakarta,member,163
72,2023-06-25,Bekasi,member,179
71,2023-07-22,Jakarta,member,179
53,2023-12-15,Jakarta,member,156
74,2023-10-02,Jakarta,member,178
58,2023-11-20,Tangerang,member,197
71,2023-06-04,Jakarta,member,179
52,2023-02-04,Jakarta,member,213
63,2023-07-08,Jakarta,member,177
98,2023-12-15,Tangerang,member,169
71,2023-06-21,Jakarta,member,200
71,2023-12-28,Jakarta,member,132
62,2023-12-14,Jakarta,member,175
62,2023-11-26,Jakarta,member,170
62,2023-03-11,Jakarta,member,190
72,2023-08-04,Bekasi,member,164
74,2023-12-17,Jakarta,member,180
72,2023-02-14,Bekasi,member,166
67,2023-04-09,Tangerang,member,189
87,2023-05-15,Bogor,member,168
60,2023-12-02,Depok,member,176
91,2023-04-04,Tangerang,member,187
65,2023-09-07,Tangerang,member,140
53,2023-11-30,Jakarta,member,175
62,2023-06-06,Jakarta,member,144
52,2023-02-14,Jakarta,member,188
53,2023-08-24,Jakarta,member,186
58,2023-04-13,Tangerang,member,174
72,2023-12-31,Bekasi,member,191
60,2023-07-10,Depok,member,211
93,2023-03-13,Tangerang,member,174
87,2023-10-13,Bogor,member,163
58,2023-07-11,Tangerang,member,190
53,2023-05-27,Jakarta,member,190
71,2023-05-05,Jakarta,member,170
72,2023-10-21,Bekasi,member,212
72,2023-02-18,Bekasi,member,194
71,2023-08-07,Jakarta,member,180
56,2023-04-26,Jakarta,member,204
72,2023-12-09,Bekasi,member,176
53,2023-04-27,Jakarta,member,148
72,2023-10-29,Bekasi,member,185
62,2023-07-01,Jakarta,member,154
74,2023-08-27,Jakarta,member,176
87,2023-03-22,Bogor,member,176
53,2023-12-03,Jakarta,member,185
71,2023-08-24,Jakarta,member,215
63,2023-12-15,Jakarta,member,148
62,2023-10-19,Jakarta,member,146
63,2023-03-18,Jakarta,member,167
53,2023-10-07,Jakarta,member,184
71,2023-03-20,Jakarta,member,148
67,2023-03-05,Tangerang,member,146
63,2023-05-18,Jakarta,member,191
72,2023-10-19,Bekasi,member,183
98,2023-09-10,Tangerang,member,156
74,2023-07-13,Jakarta,member,183
93,2023-09-08,Tangerang,member,194
62,2023-06-16,Jakarta,member,211
93,2023-03-27,Tangerang,member,176
63,2023-09-01,Jakarta,member,180
72,2023-09-20,Bekasi,member,200
71,2023-12-03,Jakarta,member,190
87,2023-06-28,Bogor,member,171
93,2023-03-07,Tangerang,member,192
87,2023-08-29,Bogor,member,187
63,2023-06-20,Jakarta,member,160
74,2023-04-21,Jakarta,member,173
87,2023-03-31,Bogor,member,200
93,2023-02-27,Tangerang,member,166
72,2023-11-14,Bekasi,member,178
71,2023-09-05,Jakarta,member,170
72,2023-09-29,Bekasi,member,194
120,2023-06-28,Tangerang,member,159
110,2023-07-01,Bogor,member,178
136,2023-06-16,Tangerang,member,173
147,2023-12-24,Jakarta,member,190
149,2023-05-27,Bogor,member,171
126,2023-12-07,Jakarta,member,162
111,2023-03-23,Jakarta,member,148
102,2023-04-30,Bogor,member,186
110,2023-06-05,Bogor,member,189
122,2023-11-06,Tangerang,member,145
110,2023-07-13,Bogor,member,167
122,2023-07-09,Tangerang,member,171
136,2023-11-15,Tangerang,member,154
126,2023-06-29,Jakarta,member,159
129,2023-07-31,Tangerang,member,196
136,2023-04-07,Tangerang,member,169
149,2023-05-08,Bogor,member,174
148,2023-12-08,Tangerang,member,217
110,2023-06-11,Bogor,member,138
115,2023-12-02,Depok,member,193
136,2023-06-23,Tangerang,member,180
110,2023-11-08,Bogor,member,211
108,2023-06-27,Tangerang,member,194
110,2023-07-08,Bogor,member,173
115,2023-05-28,Depok,member,154
126,2023-08-26,Jakarta,member,183
122,2023-07-02,Tangerang,member,176
140,2023-09-11,Jakarta,member,183
136,2023-10-24,Tangerang,member,213
136,2023-04-02,Tangerang,member,180
108,2023-11-14,Tangerang,member,176
140,2023-03-08,Jakarta,member,184
108,2023-07-25,Tangerang,member,231
108,2023-04-14,Tangerang,member,204
110,2023-04-03,Bogor,member,150
110,2023-10-04,Bogor,member,164
147,2023-12-19,Jakarta,member,176
149,2023-08-20,Bogor,member,202
122,2023-05-19,Tangerang,member,166
140,2023-11-12,Jakarta,member,169
136,2023-12-31,Tangerang,member,190
129,2023-06-15,Tangerang,member,203
136,2023-11-15,Tangerang,member,187
102,2023-11-19,Bogor,member,185
136,2023-11-27,Tangerang,member,150
140,2023-08-02,Jakarta,member,183
149,2023-06-11,Bogor,member,150
136,2023-03-20,Tangerang,member,175
